monthEndDate,adjClose
2020-01-31,52.29
2020-02-27,49.93
2020-03-31,36.54
2020-04-30,46.30
2020-05-29,52.56
2020-06-30,50.20
2020-07-31,45.17
2020-08-31,46.37
2020-09-30,47.11
2020-10-30,46.09
2020-11-30,48.23
2020-12-31,48.60
2021-01-29,48.78
2021-02-26,48.97
2021-03-31,53.23
2021-04-29,53.05
2021-05-31,51.47
2021-06-30,49.43
2021-07-30,53.62
2021-08-31,55.98
2021-09-30,55.79
2021-10-29,71.47
2021-11-30,73.17
2021-12-30,67.41
2022-01-26,60.51
2022-02-25,63.82
2022-03-31,75.15
2022-04-29,70.33
2022-05-31,75.24
2022-06-30,65.90
2022-07-29,67.25
2022-08-31,70.24
2022-09-30,60.11
2022-10-31,55.48
2022-11-30,55.96
2022-12-30,50.56
2023-01-31,54.61
2023-02-24,54.42
2023-03-31,68.21
2023-04-28,64.26
2023-05-31,55.77
2023-06-30,58.47
2023-07-31,57.50
2023-08-31,58.00
2023-09-28,57.00
2023-10-31,55.00
2023-11-30,64.70
2023-12-29,63.70
2024-01-31,58.10
2024-02-29,59.60
2024-03-29,59.80
2024-04-30,64.10
2024-05-31,63.50
2024-06-28,61.80
2024-07-31,54.10
2024-08-30,55.10
2024-09-30,76.80
2024-10-30,74.70
2024-11-29,88.00
2024-12-31,89.60
2025-01-22,97.40
2025-02-27,164.00
2025-03-31,118.00
2025-04-30,96.70
2025-05-29,102.50
2025-06-30,126.50
2025-07-31,161.50
2025-08-29,188.50
2025-09-30,151.00
2025-10-31,156.50
2025-11-28,206.50
2025-12-31,310.00
2026-01-30,392.00
2026-02-26,490.00
2026-03-31,572.00
2026-04-30,791.00
2026-05-29,750.00
2026-06-30,491.00
2026-07-24,402.00
