monthEndDate,close
2018-01-31,6.144999980926514
2018-02-28,6.050000190734863
2018-03-29,5.789750099182129
2018-04-30,5.622499942779541
2018-05-31,6.304749965667725
2018-06-29,5.922500133514404
2018-07-31,6.121500015258789
2018-08-31,7.017000198364258
2018-09-28,7.0254998207092285
2018-10-31,5.270750045776367
2018-11-30,4.085750102996826
2018-12-31,3.3375000953674316
2019-01-31,3.59375
2019-02-28,3.8564999103546143
2019-03-29,4.488999843597412
2019-04-30,4.525000095367432
2019-05-31,3.3864998817443848
2019-06-28,4.10575008392334
2019-07-31,4.2179999351501465
2019-08-30,4.187749862670898
2019-09-30,4.351749897003174
2019-10-31,5.0254998207092285
2019-11-29,5.418499946594238
2019-12-31,5.882500171661377
2020-01-31,5.910749912261963
2020-02-28,6.7517499923706055
2020-03-31,6.590000152587891
2020-04-30,7.307000160217285
2020-05-29,8.875499725341797
2020-06-30,9.497750282287598
2020-07-31,10.614749908447266
2020-08-31,13.374500274658203
2020-09-30,13.530500411987305
2020-10-30,12.534000396728516
2020-11-30,13.40149974822998
2020-12-31,13.055000305175781
2021-01-29,12.989749908447266
2021-02-26,13.714500427246094
2021-03-31,13.348250389099121
2021-04-30,15.009499549865723
2021-05-28,16.24449920654297
2021-06-30,20.002500534057617
2021-07-30,19.499000549316406
2021-08-31,22.385000228881836
2021-09-30,20.715999603271484
2021-10-29,25.566999435424805
2021-11-30,32.67599868774414
2021-12-31,29.410999298095703
2022-01-31,24.486000061035156
2022-02-28,24.385000228881836
2022-03-31,27.285999298095703
2022-04-29,18.547000885009766
2022-05-31,18.672000885009766
2022-06-30,15.159000396728516
2022-07-29,18.163000106811523
2022-08-31,15.093999862670898
2022-09-30,12.138999938964844
2022-10-31,13.496999740600586
2022-11-30,16.92300033569336
2022-12-30,14.61400032043457
2023-01-31,19.53700065612793
2023-02-28,23.215999603271484
2023-03-31,27.777000427246094
2023-04-28,27.749000549316406
2023-05-31,37.83399963378906
2023-06-30,42.301998138427734
2023-07-31,46.729000091552734
2023-08-31,49.35499954223633
2023-09-29,43.499000549316406
2023-10-31,40.779998779296875
2023-11-30,46.77000045776367
2023-12-29,49.52199935913086
2024-01-31,61.527000427246094
2024-02-29,79.11199951171875
2024-03-28,90.35600280761719
2024-04-30,86.4020004272461
2024-05-31,109.63300323486328
2024-06-28,123.54000091552734
2024-07-31,117.0199966430664
2024-08-30,119.37000274658203
2024-09-30,121.44000244140625
2024-10-31,132.75999450683594
2024-11-29,138.25
2024-12-31,134.2899932861328
2025-01-31,120.06999969482422
2025-02-28,124.91999816894531
2025-03-31,108.37999725341797
2025-04-30,108.91999816894531
2025-05-30,135.1300048828125
2025-06-30,157.99000549316406
2025-07-31,177.8699951171875
2025-08-29,174.17999267578125
2025-09-30,186.5800018310547
2025-10-31,202.49000549316406
2025-11-28,177
2025-12-31,186.5
2026-01-30,191.1300048828125
2026-02-27,177.19000244140625
2026-03-31,174.39999389648438
2026-04-30,199.57000732421875
2026-05-29,211.13999938964844
2026-06-30,200.08999633789062
